"";"ModelNumber";"Model";"Run";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"261";"2. Neyman known";"2. Neyman known";44;424;77;347;437;563
"262";"3. RSIHR Known";"3. RSIHR Known";44;489;81;408;357;643
"263";"4. Rosenberger known";"4. Rosenberger known";44;576;20;556;128;872
"264";"5. Optimal adjusted";"5. Optimal adjusted";44;391;93;298;539;461
"265";"1. Random";"1. Random";45;369;102;267;532;468
"266";"6. Biased  coin";"6. Biased  coin";45;386;92;294;503;499
"267";"2. Neyman known";"2. Neyman known";45;421;88;333;438;562
"268";"3. RSIHR Known";"3. RSIHR Known";45;449;59;390;353;647
"269";"4. Rosenberger known";"4. Rosenberger known";45;548;37;511;136;864
"270";"5. Optimal adjusted";"5. Optimal adjusted";45;368;101;267;549;451
"271";"1. Random";"1. Random";46;409;94;315;506;494
"272";"6. Biased  coin";"6. Biased  coin";46;424;96;328;503;500
"273";"2. Neyman known";"2. Neyman known";46;415;86;329;452;548
"274";"3. RSIHR Known";"3. RSIHR Known";46;441;74;367;383;617
"275";"4. Rosenberger known";"4. Rosenberger known";46;571;20;551;114;886
"276";"5. Optimal adjusted";"5. Optimal adjusted";46;405;106;299;527;473
"277";"1. Random";"1. Random";47;365;103;262;536;464
"278";"6. Biased  coin";"6. Biased  coin";47;416;114;302;500;500
"279";"2. Neyman known";"2. Neyman known";47;411;104;307;482;518
"280";"3. RSIHR Known";"3. RSIHR Known";47;425;68;357;386;614
"281";"4. Rosenberger known";"4. Rosenberger known";47;542;29;513;138;862
"282";"5. Optimal adjusted";"5. Optimal adjusted";47;391;101;290;532;468
"283";"1. Random";"1. Random";48;399;99;300;510;490
"284";"6. Biased  coin";"6. Biased  coin";48;396;100;296;501;499
"285";"2. Neyman known";"2. Neyman known";48;413;100;313;469;531
"286";"3. RSIHR Known";"3. RSIHR Known";48;448;74;374;384;616
"287";"4. Rosenberger known";"4. Rosenberger known";48;549;40;509;160;840
"288";"5. Optimal adjusted";"5. Optimal adjusted";48;384;110;274;552;448
"289";"1. Random";"1. Random";49;393;92;301;479;521
"290";"6. Biased  coin";"6. Biased  coin";49;384;97;287;499;501
"291";"2. Neyman known";"2. Neyman known";49;382;72;310;453;547
"292";"3. RSIHR Known";"3. RSIHR Known";49;425;64;361;373;627
"293";"4. Rosenberger known";"4. Rosenberger known";49;520;25;495;134;866
"294";"5. Optimal adjusted";"5. Optimal adjusted";49;381;120;261;556;444
"295";"1. Random";"1. Random";50;416;114;302;490;510
"296";"6. Biased  coin";"6. Biased  coin";50;407;103;304;500;500
"297";"2. Neyman known";"2. Neyman known";50;429;94;335;457;543
"298";"3. RSIHR Known";"3. RSIHR Known";50;453;90;363;397;603
"299";"4. Rosenberger known";"4. Rosenberger known";50;543;27;516;127;873
"300";"5. Optimal adjusted";"5. Optimal adjusted";50;391;124;267;540;460
"301";"1. Random";"1. Random";51;432;89;343;482;518
"302";"6. Biased  coin";"6. Biased  coin";51;408;99;309;501;499
"303";"2. Neyman known";"2. Neyman known";51;439;88;351;436;564
"304";"3. RSIHR Known";"3. RSIHR Known";51;465;76;389;388;612
"305";"4. Rosenberger known";"4. Rosenberger known";51;561;28;533;156;844
"306";"5. Optimal adjusted";"5. Optimal adjusted";51;415;105;310;525;475
"307";"1. Random";"1. Random";52;407;102;305;476;524
"308";"6. Biased  coin";"6. Biased  coin";52;378;99;279;504;500
"309";"2. Neyman known";"2. Neyman known";52;422;93;329;447;553
"310";"3. RSIHR Known";"3. RSIHR Known";52;439;81;358;369;631
"311";"4. Rosenberger known";"4. Rosenberger known";52;540;45;495;157;843
"312";"5. Optimal adjusted";"5. Optimal adjusted";52;394;115;279;546;454
"313";"1. Random";"1. Random";53;369;94;275;520;480
"314";"6. Biased  coin";"6. Biased  coin";53;385;96;289;500;501
"315";"2. Neyman known";"2. Neyman known";53;408;98;310;461;539
"316";"3. RSIHR Known";"3. RSIHR Known";53;416;64;352;377;623
"317";"4. Rosenberger known";"4. Rosenberger known";53;525;45;480;167;833
"318";"5. Optimal adjusted";"5. Optimal adjusted";53;361;108;253;549;451
"319";"1. Random";"1. Random";54;409;112;297;495;505
"320";"6. Biased  coin";"6. Biased  coin";54;380;98;282;502;500
"321";"2. Neyman known";"2. Neyman known";54;401;99;302;472;528
"322";"3. RSIHR Known";"3. RSIHR Known";54;443;70;373;325;675
"323";"4. Rosenberger known";"4. Rosenberger known";54;525;35;490;137;863
"324";"5. Optimal adjusted";"5. Optimal adjusted";54;384;125;259;555;445
"325";"1. Random";"1. Random";55;416;115;301;512;488
"326";"6. Biased  coin";"6. Biased  coin";55;431;121;310;500;500
"327";"2. Neyman known";"2. Neyman known";55;431;109;322;471;529
"328";"3. RSIHR Known";"3. RSIHR Known";55;482;96;386;367;633
"329";"4. Rosenberger known";"4. Rosenberger known";55;572;45;527;142;858
"330";"5. Optimal adjusted";"5. Optimal adjusted";55;390;119;271;553;447
"331";"1. Random";"1. Random";56;424;85;339;466;534
"332";"6. Biased  coin";"6. Biased  coin";56;414;92;322;501;500
"333";"2. Neyman known";"2. Neyman known";56;445;82;363;449;551
"334";"3. RSIHR Known";"3. RSIHR Known";56;462;64;398;370;630
