"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"2326";"3. RSIHR Known";453;71;382;371;629
"2327";"4. Rosenberger known";532;29;503;139;861
"2328";"5. Optimal adjusted";373;106;267;539;461
"2329";"1. Random";393;103;290;516;484
"2330";"6. Biased  coin";395;109;286;502;499
"2331";"2. Neyman known";413;98;315;449;551
"2332";"3. RSIHR Known";430;63;367;376;624
"2333";"4. Rosenberger known";531;28;503;147;853
"2334";"5. Optimal adjusted";383;110;273;542;458
"2335";"1. Random";373;105;268;520;480
"2336";"6. Biased  coin";394;96;298;499;502
"2337";"2. Neyman known";400;87;313;445;555
"2338";"3. RSIHR Known";418;70;348;375;625
"2339";"4. Rosenberger known";516;21;495;131;869
"2340";"5. Optimal adjusted";374;110;264;535;465
"2341";"1. Random";388;100;288;488;512
"2342";"6. Biased  coin";410;111;299;501;500
"2343";"2. Neyman known";447;116;331;447;553
"2344";"3. RSIHR Known";451;79;372;370;630
"2345";"4. Rosenberger known";529;24;505;122;878
"2346";"5. Optimal adjusted";410;118;292;505;495
"2347";"1. Random";402;104;298;509;491
"2348";"6. Biased  coin";415;100;315;500;500
"2349";"2. Neyman known";433;99;334;456;544
"2350";"3. RSIHR Known";474;82;392;375;625
"2351";"4. Rosenberger known";555;26;529;127;873
"2352";"5. Optimal adjusted";401;112;289;525;475
"2353";"1. Random";421;111;310;491;509
"2354";"6. Biased  coin";386;97;289;499;501
"2355";"2. Neyman known";444;106;338;452;548
"2356";"3. RSIHR Known";465;71;394;337;663
"2357";"4. Rosenberger known";563;33;530;124;876
"2358";"5. Optimal adjusted";376;117;259;542;458
"2359";"1. Random";421;105;316;478;522
"2360";"6. Biased  coin";425;115;310;503;498
"2361";"2. Neyman known";426;98;328;463;537
"2362";"3. RSIHR Known";456;66;390;343;657
"2363";"4. Rosenberger known";543;27;516;145;855
"2364";"5. Optimal adjusted";383;115;268;525;475
"2365";"1. Random";417;96;321;478;522
"2366";"6. Biased  coin";404;106;298;499;501
"2367";"2. Neyman known";420;75;345;438;562
"2368";"3. RSIHR Known";429;67;362;371;629
"2369";"4. Rosenberger known";507;19;488;136;864
"2370";"5. Optimal adjusted";387;112;275;523;477
"2371";"1. Random";389;104;285;500;500
"2372";"6. Biased  coin";365;97;268;502;499
"2373";"2. Neyman known";416;85;331;430;570
"2374";"3. RSIHR Known";421;70;351;384;616
"2375";"4. Rosenberger known";512;28;484;146;854
"2376";"5. Optimal adjusted";379;117;262;555;445
"2377";"1. Random";374;111;263;508;492
"2378";"6. Biased  coin";392;107;285;500;500
"2379";"2. Neyman known";419;103;316;445;555
"2380";"3. RSIHR Known";452;78;374;361;639
"2381";"4. Rosenberger known";519;35;484;145;855
"2382";"5. Optimal adjusted";397;107;290;505;495
"2383";"1. Random";388;93;295;487;513
"2384";"6. Biased  coin";395;106;289;500;500
"2385";"2. Neyman known";388;94;294;469;531
"2386";"3. RSIHR Known";423;61;362;363;637
"2387";"4. Rosenberger known";515;28;487;142;858
"2388";"5. Optimal adjusted";371;101;270;525;475
"2389";"1. Random";401;95;306;499;501
"2390";"6. Biased  coin";394;94;300;501;500
"2391";"2. Neyman known";405;78;327;443;557
"2392";"3. RSIHR Known";466;60;406;339;661
"2393";"4. Rosenberger known";535;24;511;146;854
"2394";"5. Optimal adjusted";362;105;257;556;444
"2395";"1. Random";371;94;277;520;480
"2396";"6. Biased  coin";383;99;284;502;500
"2397";"2. Neyman known";390;85;305;463;537
"2398";"3. RSIHR Known";437;75;362;362;638
"2399";"4. Rosenberger known";530;30;500;141;859
"2400";"5. Optimal adjusted";373;96;277;525;475
"2401";"1. Random";416;113;303;502;498
"2402";"6. Biased  coin";438;110;328;501;500
"2403";"2. Neyman known";428;99;329;470;530
"2404";"3. RSIHR Known";475;87;388;376;624
"2405";"4. Rosenberger known";563;45;518;170;830
"2406";"5. Optimal adjusted";414;118;296;532;468
"2407";"1. Random";375;86;289;500;500
"2408";"6. Biased  coin";385;88;297;500;501
"2409";"2. Neyman known";421;79;342;445;555
"2410";"3. RSIHR Known";435;71;364;393;607
"2411";"4. Rosenberger known";543;28;515;135;865
"2412";"5. Optimal adjusted";398;92;306;496;504
"2413";"1. Random";404;103;301;522;478
"2414";"6. Biased  coin";401;106;295;499;501
"2415";"2. Neyman known";446;93;353;423;577
"2416";"3. RSIHR Known";440;84;356;405;595
"2417";"4. Rosenberger known";532;31;501;155;845
"2418";"5. Optimal adjusted";381;117;264;565;435
"2419";"1. Random";403;103;300;511;489
"2420";"6. Biased  coin";392;107;285;504;500
"2421";"2. Neyman known";435;104;331;448;552
"2422";"3. RSIHR Known";457;67;390;357;643
"2423";"4. Rosenberger known";527;28;499;154;846
"2424";"5. Optimal adjusted";379;111;268;540;460
"2425";"1. Random";400;98;302;485;515
"2426";"6. Biased  coin";406;104;302;500;500
"2427";"2. Neyman known";390;88;302;477;523
"2428";"3. RSIHR Known";460;87;373;365;635
"2429";"4. Rosenberger known";538;21;517;120;880
"2430";"5. Optimal adjusted";381;104;277;516;484
"2431";"1. Random";419;106;313;478;522
"2432";"6. Biased  coin";390;89;301;501;499
"2433";"2. Neyman known";416;83;333;453;547
"2434";"3. RSIHR Known";450;69;381;360;640
"2435";"4. Rosenberger known";545;31;514;139;861
"2436";"5. Optimal adjusted";392;113;279;536;464
"2437";"1. Random";417;104;313;503;497
"2438";"6. Biased  coin";411;109;302;502;499
"2439";"2. Neyman known";435;92;343;437;563
"2440";"3. RSIHR Known";474;74;400;355;645
"2441";"4. Rosenberger known";549;28;521;135;865
"2442";"5. Optimal adjusted";373;114;259;551;449
"2443";"1. Random";391;99;292;498;502
"2444";"6. Biased  coin";391;99;292;502;501
"2445";"2. Neyman known";423;89;334;450;550
"2446";"3. RSIHR Known";476;80;396;357;643
"2447";"4. Rosenberger known";540;31;509;151;849
"2448";"5. Optimal adjusted";399;122;277;544;456
"2449";"1. Random";377;91;286;503;497
"2450";"6. Biased  coin";390;96;294;502;500
"2451";"2. Neyman known";396;89;307;470;530
"2452";"3. RSIHR Known";447;83;364;373;627
"2453";"4. Rosenberger known";536;25;511;133;867
"2454";"5. Optimal adjusted";385;101;284;523;477
"2455";"1. Random";425;116;309;500;500
"2456";"6. Biased  coin";418;101;317;502;499
"2457";"2. Neyman known";423;96;327;461;539
"2458";"3. RSIHR Known";483;84;399;372;628
"2459";"4. Rosenberger known";569;27;542;138;862
"2460";"5. Optimal adjusted";404;106;298;510;490
"2461";"1. Random";410;118;292;511;489
"2462";"6. Biased  coin";411;110;301;500;500
"2463";"2. Neyman known";424;86;338;413;587
"2464";"3. RSIHR Known";467;96;371;393;607
"2465";"4. Rosenberger known";528;26;502;153;847
"2466";"5. Optimal adjusted";400;118;282;543;457
"2467";"1. Random";404;101;303;517;483
"2468";"6. Biased  coin";401;99;302;500;500
"2469";"2. Neyman known";411;95;316;476;524
"2470";"3. RSIHR Known";463;66;397;355;645
"2471";"4. Rosenberger known";544;28;516;142;858
"2472";"5. Optimal adjusted";386;119;267;552;448
"2473";"1. Random";382;83;299;502;498
"2474";"6. Biased  coin";401;99;302;500;501
"2475";"2. Neyman known";397;78;319;453;547
"2476";"3. RSIHR Known";438;65;373;373;627
"2477";"4. Rosenberger known";547;28;519;150;850
"2478";"5. Optimal adjusted";384;95;289;514;486
"2479";"1. Random";417;104;313;490;510
"2480";"6. Biased  coin";425;119;306;500;500
"2481";"2. Neyman known";457;101;356;421;579
"2482";"3. RSIHR Known";457;88;369;388;612
"2483";"4. Rosenberger known";557;39;518;150;850
"2484";"5. Optimal adjusted";402;115;287;550;450
"2485";"1. Random";384;93;291;474;526
"2486";"6. Biased  coin";398;109;289;500;500
"2487";"2. Neyman known";408;95;313;466;534
"2488";"3. RSIHR Known";456;80;376;357;643
"2489";"4. Rosenberger known";511;29;482;154;846
"2490";"5. Optimal adjusted";379;120;259;542;458
"2491";"1. Random";388;97;291;515;485
"2492";"6. Biased  coin";398;97;301;500;500
"2493";"2. Neyman known";416;78;338;436;564
"2494";"3. RSIHR Known";451;69;382;383;617
"2495";"4. Rosenberger known";552;22;530;138;862
"2496";"5. Optimal adjusted";401;117;284;551;449
"2497";"1. Random";386;93;293;510;490
"2498";"6. Biased  coin";390;99;291;501;499
"2499";"2. Neyman known";411;75;336;445;555
"2500";"3. RSIHR Known";436;71;365;356;644
"2501";"4. Rosenberger known";529;34;495;162;838
"2502";"5. Optimal adjusted";380;101;279;536;464
"2503";"1. Random";403;107;296;488;512
"2504";"6. Biased  coin";375;82;293;500;500
"2505";"2. Neyman known";417;79;338;435;565
"2506";"3. RSIHR Known";451;67;384;376;624
"2507";"4. Rosenberger known";538;27;511;155;845
"2508";"5. Optimal adjusted";393;99;294;517;483
"2509";"1. Random";370;89;281;509;491
"2510";"6. Biased  coin";356;67;289;500;500
"2511";"2. Neyman known";394;73;321;451;549
"2512";"3. RSIHR Known";438;61;377;364;636
"2513";"4. Rosenberger known";523;27;496;135;865
"2514";"5. Optimal adjusted";333;85;248;567;433
"2515";"1. Random";390;83;307;496;504
"2516";"6. Biased  coin";388;89;299;499;502
"2517";"2. Neyman known";425;83;342;452;548
"2518";"3. RSIHR Known";453;63;390;349;651
"2519";"4. Rosenberger known";550;29;521;151;849
"2520";"5. Optimal adjusted";372;107;265;565;435
"2521";"1. Random";425;114;311;478;522
"2522";"6. Biased  coin";395;105;290;501;499
"2523";"2. Neyman known";440;95;345;437;563
"2524";"3. RSIHR Known";466;77;389;341;659
"2525";"4. Rosenberger known";523;25;498;145;855
"2526";"5. Optimal adjusted";418;128;290;533;467
"2527";"1. Random";407;104;303;495;505
"2528";"6. Biased  coin";408;121;287;502;500
"2529";"2. Neyman known";412;92;320;445;555
"2530";"3. RSIHR Known";449;82;367;379;621
"2531";"4. Rosenberger known";533;33;500;151;849
"2532";"5. Optimal adjusted";389;120;269;544;456
"2533";"1. Random";393;106;287;510;490
"2534";"6. Biased  coin";404;95;309;501;499
"2535";"2. Neyman known";403;84;319;438;562
"2536";"3. RSIHR Known";464;76;388;337;663
"2537";"4. Rosenberger known";560;33;527;148;852
"2538";"5. Optimal adjusted";395;110;285;541;459
"2539";"1. Random";379;94;285;493;507
"2540";"6. Biased  coin";401;115;286;500;500
"2541";"2. Neyman known";426;97;329;433;567
"2542";"3. RSIHR Known";440;72;368;369;631
"2543";"4. Rosenberger known";537;31;506;136;864
"2544";"5. Optimal adjusted";385;115;270;529;471
"2545";"1. Random";396;97;299;486;514
"2546";"6. Biased  coin";378;99;279;502;500
"2547";"2. Neyman known";427;89;338;431;569
"2548";"3. RSIHR Known";455;76;379;362;638
"2549";"4. Rosenberger known";525;20;505;137;863
"2550";"5. Optimal adjusted";370;104;266;531;469
"2551";"1. Random";381;85;296;480;520
