"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"2149";"1. Random";389;99;290;503;497
"2150";"6. Biased  coin";399;109;290;502;500
"2151";"2. Neyman known";405;92;313;446;554
"2152";"3. RSIHR Known";429;66;363;353;647
"2153";"4. Rosenberger known";528;26;502;135;865
"2154";"5. Optimal adjusted";404;110;294;523;477
"2155";"1. Random";416;105;311;480;520
"2156";"6. Biased  coin";414;112;302;500;500
"2157";"2. Neyman known";425;91;334;443;557
"2158";"3. RSIHR Known";434;77;357;390;610
"2159";"4. Rosenberger known";540;33;507;144;856
"2160";"5. Optimal adjusted";392;118;274;547;453
"2161";"1. Random";372;78;294;490;510
"2162";"6. Biased  coin";415;109;306;501;500
"2163";"2. Neyman known";415;110;305;484;516
"2164";"3. RSIHR Known";459;68;391;359;641
"2165";"4. Rosenberger known";536;38;498;167;833
"2166";"5. Optimal adjusted";419;117;302;512;488
"2167";"1. Random";386;95;291;502;498
"2168";"6. Biased  coin";404;104;300;500;500
"2169";"2. Neyman known";400;90;310;469;531
"2170";"3. RSIHR Known";437;68;369;373;627
"2171";"4. Rosenberger known";554;32;522;139;861
"2172";"5. Optimal adjusted";382;109;273;537;463
"2173";"1. Random";393;97;296;478;522
"2174";"6. Biased  coin";388;109;279;503;499
"2175";"2. Neyman known";397;94;303;456;544
"2176";"3. RSIHR Known";439;77;362;350;650
"2177";"4. Rosenberger known";501;26;475;148;852
"2178";"5. Optimal adjusted";406;126;280;525;475
"2179";"1. Random";417;108;309;487;513
"2180";"6. Biased  coin";409;105;304;499;501
"2181";"2. Neyman known";438;84;354;433;567
"2182";"3. RSIHR Known";452;77;375;378;622
"2183";"4. Rosenberger known";538;34;504;154;846
"2184";"5. Optimal adjusted";392;104;288;516;484
"2185";"1. Random";409;91;318;485;515
"2186";"6. Biased  coin";387;90;297;502;500
"2187";"2. Neyman known";417;81;336;445;555
"2188";"3. RSIHR Known";457;73;384;383;617
"2189";"4. Rosenberger known";550;24;526;147;853
"2190";"5. Optimal adjusted";366;95;271;549;451
"2191";"1. Random";403;117;286;527;473
"2192";"6. Biased  coin";400;102;298;500;500
"2193";"2. Neyman known";404;85;319;456;544
"2194";"3. RSIHR Known";463;73;390;345;655
"2195";"4. Rosenberger known";548;38;510;152;848
"2196";"5. Optimal adjusted";379;104;275;531;469
"2197";"1. Random";411;102;309;486;514
"2198";"6. Biased  coin";430;109;321;500;502
"2199";"2. Neyman known";460;99;361;431;569
"2200";"3. RSIHR Known";454;70;384;383;617
"2201";"4. Rosenberger known";569;24;545;149;851
"2202";"5. Optimal adjusted";410;127;283;572;428
"2203";"1. Random";405;92;313;498;502
"2204";"6. Biased  coin";404;100;304;501;500
"2205";"2. Neyman known";431;84;347;423;577
"2206";"3. RSIHR Known";466;75;391;358;642
"2207";"4. Rosenberger known";533;28;505;155;845
"2208";"5. Optimal adjusted";385;108;277;548;452
"2209";"1. Random";396;114;282;514;486
"2210";"6. Biased  coin";393;104;289;501;500
"2211";"2. Neyman known";393;91;302;462;538
"2212";"3. RSIHR Known";456;76;380;354;646
"2213";"4. Rosenberger known";513;27;486;154;846
"2214";"5. Optimal adjusted";383;102;281;537;463
"2215";"1. Random";384;98;286;498;502
"2216";"6. Biased  coin";391;107;284;501;499
"2217";"2. Neyman known";377;80;297;469;531
"2218";"3. RSIHR Known";438;57;381;351;649
"2219";"4. Rosenberger known";532;33;499;143;857
"2220";"5. Optimal adjusted";383;105;278;533;467
"2221";"1. Random";381;99;282;511;489
"2222";"6. Biased  coin";390;94;296;499;501
"2223";"2. Neyman known";390;70;320;435;565
"2224";"3. RSIHR Known";451;69;382;374;626
"2225";"4. Rosenberger known";520;21;499;148;852
"2226";"5. Optimal adjusted";359;88;271;524;476
"2227";"1. Random";413;111;302;489;511
"2228";"6. Biased  coin";397;125;272;498;502
"2229";"2. Neyman known";400;102;298;481;519
"2230";"3. RSIHR Known";429;74;355;357;643
"2231";"4. Rosenberger known";514;34;480;151;849
"2232";"5. Optimal adjusted";378;114;264;515;485
"2233";"1. Random";391;91;300;480;520
"2234";"6. Biased  coin";378;103;275;501;500
"2235";"2. Neyman known";419;100;319;449;551
"2236";"3. RSIHR Known";441;79;362;368;632
"2237";"4. Rosenberger known";542;23;519;125;875
"2238";"5. Optimal adjusted";394;114;280;544;456
"2239";"1. Random";388;109;279;532;468
"2240";"6. Biased  coin";407;99;308;500;500
"2241";"2. Neyman known";416;83;333;451;549
"2242";"3. RSIHR Known";468;67;401;345;655
"2243";"4. Rosenberger known";552;24;528;118;882
"2244";"5. Optimal adjusted";373;96;277;526;474
"2245";"1. Random";395;104;291;515;485
"2246";"6. Biased  coin";408;110;298;502;501
"2247";"2. Neyman known";416;98;318;454;546
"2248";"3. RSIHR Known";444;77;367;379;621
"2249";"4. Rosenberger known";544;44;500;146;854
"2250";"5. Optimal adjusted";402;123;279;523;477
"2251";"1. Random";412;98;314;490;510
"2252";"6. Biased  coin";399;95;304;501;500
"2253";"2. Neyman known";435;90;345;451;549
"2254";"3. RSIHR Known";436;83;353;403;597
"2255";"4. Rosenberger known";549;28;521;140;860
"2256";"5. Optimal adjusted";411;108;303;510;490
"2257";"1. Random";416;116;300;498;502
"2258";"6. Biased  coin";408;116;292;502;499
"2259";"2. Neyman known";433;100;333;438;562
"2260";"3. RSIHR Known";458;84;374;373;627
"2261";"4. Rosenberger known";522;31;491;145;855
"2262";"5. Optimal adjusted";398;120;278;525;475
"2263";"1. Random";393;96;297;513;487
"2264";"6. Biased  coin";412;96;316;500;500
"2265";"2. Neyman known";416;83;333;441;559
"2266";"3. RSIHR Known";448;72;376;362;638
"2267";"4. Rosenberger known";545;22;523;141;859
"2268";"5. Optimal adjusted";375;109;266;541;459
"2269";"1. Random";416;128;288;517;483
"2270";"6. Biased  coin";424;116;308;501;501
"2271";"2. Neyman known";451;115;336;452;548
"2272";"3. RSIHR Known";455;75;380;359;641
"2273";"4. Rosenberger known";545;41;504;152;848
"2274";"5. Optimal adjusted";423;118;305;509;491
"2275";"1. Random";409;101;308;500;500
"2276";"6. Biased  coin";420;111;309;501;499
"2277";"2. Neyman known";450;94;356;427;573
"2278";"3. RSIHR Known";455;60;395;371;629
"2279";"4. Rosenberger known";560;29;531;151;849
"2280";"5. Optimal adjusted";413;126;287;549;451
"2281";"1. Random";365;107;258;541;459
"2282";"6. Biased  coin";408;107;301;500;500
"2283";"2. Neyman known";412;95;317;445;555
"2284";"3. RSIHR Known";440;74;366;360;640
"2285";"4. Rosenberger known";537;40;497;150;850
"2286";"5. Optimal adjusted";394;129;265;548;452
"2287";"1. Random";430;106;324;477;523
"2288";"6. Biased  coin";397;91;306;500;501
"2289";"2. Neyman known";428;88;340;430;570
"2290";"3. RSIHR Known";444;71;373;366;634
"2291";"4. Rosenberger known";537;23;514;136;864
"2292";"5. Optimal adjusted";388;116;272;541;459
"2293";"1. Random";400;101;299;492;508
"2294";"6. Biased  coin";416;112;304;503;501
"2295";"2. Neyman known";406;95;311;471;529
"2296";"3. RSIHR Known";458;81;377;365;635
"2297";"4. Rosenberger known";544;26;518;142;858
"2298";"5. Optimal adjusted";377;105;272;543;457
"2299";"1. Random";380;77;303;479;521
"2300";"6. Biased  coin";379;99;280;501;499
"2301";"2. Neyman known";410;93;317;454;546
"2302";"3. RSIHR Known";433;54;379;339;661
"2303";"4. Rosenberger known";515;18;497;131;869
"2304";"5. Optimal adjusted";376;104;272;545;455
"2305";"1. Random";391;91;300;468;532
"2306";"6. Biased  coin";372;87;285;500;500
"2307";"2. Neyman known";411;94;317;445;555
